"","PRISM.7122","PRISM.7147","PRISM.7150","PRISM.7153","PRISM.7184","PRISM.7238","PRISM.7406","PRISM.7408","PRISM.7421","PRISM.7445","PRISM.7486","PRISM.7496","PRISM.7506","PRISM.7547","PRISM.7658","PRISM.7662","PRISM.7744","PRISM.7759","PRISM.7762","PRISM.7776","PRISM.7791","PRISM.7843","PRISM.7847","PRISM.7852","PRISM.7855","PRISM.7858","PRISM.7860","PRISM.7861","PRISM.7862","PRISM.7870","PRISM.7874","PRISM.7875","PRISM.7879","PRISM.7897","PRISM.7899","PRISM.7904","PRISM.7906","PRISM.7908","PRISM.7909","PRISM.7910","PRISM.7911","PRISM.7912","PRISM.7938","PRISM.7941","PRISM.7947","PRISM.7948","PRISM.7955","PRISM.7971","PRISM.7989","PRISM.8095","PRISM.8096","PRISM.8101","PRISM.8106","PRISM.8129","PRISM.8226","PRISM.8244","PRISM.8264","PRISM.8275","PRISM.8283","PRISM.8332","PRISM.8336","PRISM.8361","PRISM.8374","PRISM.8377","PRISM.8406","PRISM.8441","PRISM.8444","PRISM.8447","PRISM.8452","PRISM.8458","PRISM.8462","PRISM.8464","PRISM.8466","PRISM.8467","PRISM.8475","PRISM.8480","PRISM.8483","PRISM.8485","PRISM.8496","PRISM.8502","PRISM.8503","PRISM.8511","PRISM.8513","PRISM.8515","PRISM.8523","PRISM.8534","PRISM.8537","PRISM.8550","PRISM.8564","PRISM.8565","PRISM.8573","PRISM.8577","PRISM.8589","PRISM.8591","PRISM.8592","PRISM.8605","PRISM.8624","PRISM.8628","PRISM.8629","PRISM.8667","PRISM.8675","PRISM.8683","PRISM.8692","PRISM.8696","PRISM.8728","PRISM.8734","PRISM.8735","PRISM.8746","PRISM.8749","PRISM.8753","PRISM.8754","PRISM.8758","PRISM.8764","PRISM.8765","PRISM.8774","PRISM.8776","PRISM.8778","PRISM.8783","PRISM.8784","PRISM.8785","PRISM.8788","PRISM.8789","PRISM.8794","PRISM.8795","PRISM.8800","PRISM.8802","PRISM.8803","PRISM.8805","PRISM.8806","PRISM.8807","PRISM.8809","PRISM.8815","PRISM.8841","PRISM.8843","PRISM.8844","PRISM.8846","PRISM.8847","PRISM.8849","PRISM.8878","PRISM.8882","PRISM.8892","PRISM.8894","PRISM.8898","PRISM.8924","PRISM.8932","PRISM.8982","PRISM.8998","PRISM.9010","PRISM.9018","PRISM.9030","PRISM.9033","PRISM.9074","PRISM.9079","PRISM.9126","PRISM.9148"
"Bifidobacterium_longum",4.19e-05,7.38e-05,0.100955,2.81e-05,9.77e-05,0.16183,0.0001285,5.9e-05,3.22e-05,0.0016724,0.0396885,6.1e-06,3.01e-05,0.0116194,0.0489832,0.0039671,3.47e-05,0.0599509,0.0721401,0.0354938,0.133082,0.0427815,0.0766848,0.0076281,0.0203134,0.128296,0.114304,1.53e-05,3.55e-05,0.0533232,0.114457,0.0309516,0.0002507,0.137793,1.79e-05,0,0.0322971,1.8e-06,0.0467473,0.0792174,4.15e-05,0.018727,0.0051485,5.79e-05,0.000105,8.63e-05,0.0041799,1.26e-05,8.96e-05,5.04e-05,0.0467099,0.0293174,8.3e-05,0.0679004,0.0517994,5.64e-05,0.0003887,0.0894851,0.0063774,4.12e-05,2.78e-05,4.85e-05,1.3e-05,0.0484636,4.52e-05,0.0069251,0.0183029,0.065596,0.0029315,7.68e-05,0.29967,0,0.0651322,0.0103515,0.0012403,0.002365,6.45e-05,0.0054905,7.97e-05,0,0.039667,0.189915,6.5e-06,0.202752,0.0167819,2.15e-05,0.0155192,7.6e-06,0.149577,0.0005917,0.0441722,0,0.0421986,5e-05,5.27e-05,0.0193031,0.0001223,0.0001526,0.0029865,0.193977,0,0.0015573,0.000182,2.33e-05,0.000919,0.0144792,0.0268324,1.5e-05,0.0032338,0.0070689,0.0085113,4.1e-05,0.0956632,0.0127746,2.79e-05,0.0089804,0.0152886,5.76e-05,3.92e-05,0.0095878,0.0001162,0.0285013,0.0115513,2.8e-05,0.0350535,0.0001035,4.11e-05,0.0012154,3.33e-05,0.0375883,6.79e-05,2.55e-05,0.0478073,0.0038906,1.31e-05,0.161178,0.0041739,2.2e-05,0.0073542,0.026981,0.181846,0.0453594,0.0184872,0.0234442,0.0404205,0.0003956,0.0002512,0.0244572,0.086555,0.155832,0.0186591,0,9e-06,0.0072809,1.34e-05
"Bifidobacterium_pseudocatenulatum",0,0,0.0058155,0,0,0,0,0,0,0,0.0098987,0,0,0,0.0544943,0,0,0,0.0909699,0,0,0,0,0.0019223,0,0,0,0,0,0,0,0.007651,0,0.0472562,0,0,0.0041246,0,0.0176446,0,0,0,0,0,0,0,0,0,0,0,0.0225651,0.0004818,0,0,0,0,0,0,0,0,0,0.0315534,0,0,0,0.0092335,0,0,0,0,0,0,0,0,0,0,0.0053788,0.0220188,0,0,0,0.0065429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001693,0,0.0021521,0,0,0.015246,0,0,0,0,0,0.0135839,0,0,0,0,0,0.0017903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094163,0,0,0.0290507,0,0,0,0,0,0,0,0,0,0,0,0,0.0059849
"Adlercreutzia_equolifaciens",0.0099457,0.0126869,0.0130885,0,0.0019697,0,0,0,0,0,0.0012163,0.0018626,0.0027257,0.0206406,0.0010595,0.0098968,0,0,0.0071009,0.0009315,0.0069834,0,0.0004123,0.0027957,0.0001335,0.0116951,0.0019109,0.0099175,0.005603,0.0027557,0.0047151,0,0.0012862,0.0014116,0.005078,0.0063506,0.012216,0,0.0056102,0.0009484,0.0013563,0.0044139,0,0,0,0,0.0024492,0,0,0,0.0001397,0.0066783,0,0,0,0.0021086,0,0.0009136,0.004958,0.002436,0,0,0,0.0009189,0,0.0039105,0.0016331,0.0074972,0,0.0311985,0.025391,0,0.0008321,0.0045902,0,0,0.0006683,0,0,0,0.0035315,0,0,0.0074325,0,0,0,0,0,0,8.6e-05,0.0033242,0.001747,0,0.0037257,0.0010489,0,0.002532,0,0.0006296,0,0.0001156,0.0021952,0.0008632,0.0010057,0.0027286,0.0001879,0,0,0,0.0022935,0,0.0007313,0.0003834,0.0046833,0.0017515,0.0020411,0.005111,0.0038621,0.0022436,0.0004369,0.0021929,0.0027243,0,0.0004559,0.0008914,0.0052089,4.3e-06,0,0,0,0,0.00012,0,0,0,0.0001982,0,0.0018355,0,0,0.0011697,0.0002043,0.0010551,0,0.0005222,0,0.0052141,0,0,0.0002089,0,0.0071992,0.0024804,0.0029844
"Collinsella_aerofaciens",0,9.1e-06,3.16e-05,0,0.0243928,0,2.61e-05,0.0489601,0,0,0.0281677,0.118571,0.0143373,0,0.0045815,0.0263641,0.0259785,0,0.0571884,0.107642,0.0455346,0.0092293,0.0143064,0.0091429,0,0,0.0593577,0.0942578,0,0,0.0431496,0,0.0555175,0.0364307,0,0.0152772,0,0.0094099,0.0297417,0.0247354,0.0119764,0.0142136,0,0,1.83e-05,0,0.0210963,0,0.0029756,0.0521297,0,0.0152783,0,0,0,0.0173682,0,0.132664,0.0263099,0.0178535,0,0,0.039798,0,0.0777548,0.0127197,0.022456,0.106447,0.0004736,0,2.2e-05,0,0.0395669,0,0.001971,0,0.0356453,0.0072998,0.0720354,0,0.0280751,0,0,0.302578,0,0,0,0,0,0.0001433,0.0374863,0.0334141,0.0188813,0,0,0.0596346,0,0.0302965,0,0,0,0,0.0088042,0,0.0192277,1.5e-05,2.71e-05,4.98e-05,0.0015891,0.025957,0.0228941,1.7e-06,0.0220896,0.0088399,0.0051455,0.0126946,0.0087636,1.83e-05,2.4e-06,0.0105428,1.17e-05,0.0179225,1.92e-05,0,0.0232995,0.0038943,0,2.05e-05,1.1e-06,6.1e-06,4.8e-06,1.2e-05,1.48e-05,3.5e-06,0.0004749,0,0.0029882,1.67e-05,0,0,0,0.0551253,0.0437484,0.0152303,0,0.0307967,0,0,0.0087612,0.0451764,0.0360316,0,0,0.0363345,0.0258954
"Collinsella_intestinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006705,0,0,0,0,0,0,0,0.0006051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490391,0,0,0,0,0,0.0006813,0,0,0.0414203,0,0,0,0,0,0,0.006825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57e-05,0,0,0,0.0461562,0,0,0.0137573,0,0.0038421,0,0,8e-07,0.00613,9.2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008081,0.0297888,0,0,0.0001001,0,0.018087,0,0,0,0.0005436,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001748,0,0,0,0,0,0,0,0,0,0,0.001542,0,0,0.0026247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2e-06,0,0,0,0,0,0,0,0,4.7e-06,0.0006363,0,0.0014903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0,0.0002104,0.0030249,0.0027295,0.0002912,0,0,0.0002469,0.0063928,0,2.88e-05,0.0001527,0.0001806,0.0018994,2.5e-06,0,0.0002771,4.25e-05,2.84e-05,0.0002863,0.000121,0,3.34e-05,2.01e-05,0.0003952,0.0001215,9.47e-05,0.0006507,0.001902,2.2e-05,9.1e-05,0,7.8e-06,7.43e-05,4.39e-05,0.0001941,0,1.64e-05,0.0007483,0,0.0083641,0.0001757,0,0,0,0.0002365,3.97e-05,0,0,0,0.0005652,0,0,0.0092611,0,0.0001339,0,0.0018104,0.0002347,1.9e-06,0,0.0053556,0.0003625,0.0156545,0.0002989,7.9e-05,0,1.12e-05,0,0.0018303,0.0046996,0,0.000303,0.0003314,0,0,0.0001149,1.16e-05,0,0,9.4e-05,0.000356,0.0003575,0.0063419,0,0,0,0,0.0058221,0,0.0012594,1.94e-05,0,0,0.0004345,0,0.0002157,0,0,0,2.02e-05,8.49e-05,2.5e-06,0,0,0.0001639,2e-06,0,0,7.43e-05,3.9e-06,0,0.0003707,0,0.00015,0.0001375,1.2e-05,0,9.82e-05,0,1.48e-05,1.66e-05,0.000355,0.0004574,1.3e-05,0.0002983,0.000152,0.0009401,0,0,0,0,0,1.07e-05,0,0.0017393,0.0028955,0,1.45e-05,0,0.0004017,0,0,0.0029923,0,3.3e-06,0,0,0,3.93e-05,0,0,4.65e-05,0,1.84e-05
"Eggerthella_sp_1_3_56FAA",0,0,0,0.0056557,0,0,0,0,0,0,0,0,0.0029364,0.0060155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013328,0,0,0,0,0,0,0,0.0243094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053837,0,0,0,0,0,0,0,0,0,0,0.0139425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024251,0.0039404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099014,0,0,0,0,0,0,0,0
"Eggerthella_unclassified",0.0077421,0.0026584,0.0346816,0.0001082,0.0017205,0,0,0.0040322,0.011347,4.05e-05,0.0009456,0.000602,0.0014782,0.0004735,0.0010689,0.0004897,0.0006878,0.0131593,0.0147786,0.0005847,0.0057407,4.27e-05,0.0020186,0.0018216,0.0028368,0.0028202,0.0037829,0.0016813,0.0086332,0.0021714,0.000823,0.0005079,0,0.0004252,0.0004203,0.001206,0.0005514,5.96e-05,0.0013676,9.21e-05,0.0050905,0,0,0.0119712,0,0.0140228,0.0003008,0,0,0,0.0046169,0.0015122,0,0.0086395,0.0019643,0.0021651,5.18e-05,0.0060864,0.0010335,0.0003108,0,0.0234674,0.0027436,0.0359203,0.0041976,0.0003975,2.2e-05,0.0004433,0,0.0099115,0.0143241,0.014247,0.0018225,0.0027599,8.04e-05,0,0.0042966,0.0005083,0.0063552,0.0132453,0.0010206,0.035126,0.0062924,0.0213643,0,0,0,0.0009273,0.0164451,0,0.0053358,0.0009487,0.000198,0,0.0013541,0.0014756,0.007962,0.0020289,0,0.0068464,0.0195445,0.0001554,4.52e-05,0.0068105,7.26e-05,0.0027283,0.0007321,0,0,0.0010922,0.0001888,0,0.000325,6.35e-05,8e-04,0,0.0001836,0.0060787,0.0087502,9.56e-05,1.7e-05,8.9e-06,0.0041282,0.0113802,0.0002887,0,0.0003039,0.0133706,2.1e-06,0,0,0,0.0002247,0.002315,0.0001559,0.007374,0.017156,0,0.0010486,0,0.0023075,0.0008533,0.0005056,0.0102264,0,0.000684,0.0036925,0.0005823,0.0002913,0.0113811,8.57e-05,0,0.0017989,0.0020625,0.0007234
"Gordonibacter_pamelaeae",0.000532,0.0005071,0.0106071,0.0004977,0.0005973,0,0,7.78e-05,0,0,0,0.0001587,3.42e-05,0.0023911,9.9e-06,0.0005004,0,0,0,4.93e-05,0.0013375,1.45e-05,0.0004106,1.68e-05,0.0044658,0.0038438,0.000266,0.0038921,0.0020928,0.0016918,0.007504,0,0.0001265,0.0013555,0.0003146,0.0013917,0.0018616,0,0.0061923,6.9e-06,0.0038828,0.0026707,0,0,0,0.0006941,0.0006204,0,0,0,0,0.0006073,0,0.000303,0,0.0013141,0,0.0002189,2.51e-05,0.0001801,0,0,5.53e-05,0.000374,0,0.0004907,0,4.61e-05,0,0,0,0,1.15e-05,0,0,0,0.0001067,0,0,0,0.0003183,0.0018521,0,0.000673,0.0024071,0,0,0,0,0,0.0002213,6.77e-05,0.0069315,0,0,0,0.0008949,0.0004986,0,0.0016701,0,2.2e-06,0.0001585,0,0.00011,0,0,0,0,0,0.0003474,0,0.0011805,6.65e-05,0.0004631,0.0025393,0.0003594,0,0.0028045,0.0010744,0,9.8e-06,0,0.0002314,0,0.0014493,0.0002688,0,0,0,0,0,0,7.02e-05,0,0.0003403,0.0001945,0,0.000136,0,0,3.7e-06,0.0002664,0.0015206,0,4.5e-06,0,0.0010552,0,0,0,0,0,0,0.000615
